StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,movieChoice,choiceTime_First Click,choiceTime_Last Click,choiceTime_Page Submit,choiceTime_Click Count,cs_1,cs_3,cs_4,cs_5,cs_6,cs_7,cs_8,cs_13,cs_time_First Click,cs_time_Last Click,cs_time_Page Submit,cs_time_Click Count,val_q_1,val_q_2,val_q_3,val_q_4,val_q_5,val_q_6,val_q_7,val_q_8,val_time_First Click,val_time_Last Click,val_time_Page Submit,val_time_Click Count,freq_q_1,freq_q_2,freq_q_3,freq_q_4,freq_q_5,freq_q_6,freq_q_7,freq_q_8,freq_time_First Click,freq_time_Last Click,freq_time_Page Submit,freq_time_Click Count
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Imagine that someone offered to cook you any meal you wanted for dinner tonight. What would you ask them to cook? (Take at least thirty seconds to think about it; after thirty seconds have passed, you'll be able to advance to the next screen.)",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please list all the foods you considered while making your decision. It's completely okay to list foods that you thought about, but then immediately realized they weren't actually good options.
We're giving you 8 spaces to list foods you thought of, but you don't have to use all 8; just list all the ones that came to mind during the decision. (Also, you should include the food you actually chose.)

 

Again, take at least thirty seconds to answer this; after thirty seconds, you'll be able to continue to the next screen. - Food 1","Please list all the foods you considered while making your decision. It's completely okay to list foods that you thought about, but then immediately realized they weren't actually good options.
We're giving you 8 spaces to list foods you thought of, but you don't have to use all 8; just list all the ones that came to mind during the decision. (Also, you should include the food you actually chose.)

 

Again, take at least thirty seconds to answer this; after thirty seconds, you'll be able to continue to the next screen. - Food 2","Please list all the foods you considered while making your decision. It's completely okay to list foods that you thought about, but then immediately realized they weren't actually good options.
We're giving you 8 spaces to list foods you thought of, but you don't have to use all 8; just list all the ones that came to mind during the decision. (Also, you should include the food you actually chose.)

 

Again, take at least thirty seconds to answer this; after thirty seconds, you'll be able to continue to the next screen. - Food 3","Please list all the foods you considered while making your decision. It's completely okay to list foods that you thought about, but then immediately realized they weren't actually good options.
We're giving you 8 spaces to list foods you thought of, but you don't have to use all 8; just list all the ones that came to mind during the decision. (Also, you should include the food you actually chose.)

 

Again, take at least thirty seconds to answer this; after thirty seconds, you'll be able to continue to the next screen. - Food 4","Please list all the foods you considered while making your decision. It's completely okay to list foods that you thought about, but then immediately realized they weren't actually good options.
We're giving you 8 spaces to list foods you thought of, but you don't have to use all 8; just list all the ones that came to mind during the decision. (Also, you should include the food you actually chose.)

 

Again, take at least thirty seconds to answer this; after thirty seconds, you'll be able to continue to the next screen. - Food 5","Please list all the foods you considered while making your decision. It's completely okay to list foods that you thought about, but then immediately realized they weren't actually good options.
We're giving you 8 spaces to list foods you thought of, but you don't have to use all 8; just list all the ones that came to mind during the decision. (Also, you should include the food you actually chose.)

 

Again, take at least thirty seconds to answer this; after thirty seconds, you'll be able to continue to the next screen. - Food 6","Please list all the foods you considered while making your decision. It's completely okay to list foods that you thought about, but then immediately realized they weren't actually good options.
We're giving you 8 spaces to list foods you thought of, but you don't have to use all 8; just list all the ones that came to mind during the decision. (Also, you should include the food you actually chose.)

 

Again, take at least thirty seconds to answer this; after thirty seconds, you'll be able to continue to the next screen. - Food 7","Please list all the foods you considered while making your decision. It's completely okay to list foods that you thought about, but then immediately realized they weren't actually good options.
We're giving you 8 spaces to list foods you thought of, but you don't have to use all 8; just list all the ones that came to mind during the decision. (Also, you should include the food you actually chose.)

 

Again, take at least thirty seconds to answer this; after thirty seconds, you'll be able to continue to the next screen. - Food 8",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Now please consider all of the foods you thought about while making your decision. We want to know: How much do you like each of these foods, compared to all the types of food you eat?
(If any of the foods are blank, just ignore that row.) - [QID131-ChoiceTextEntryValue-1]","Now please consider all of the foods you thought about while making your decision. We want to know: How much do you like each of these foods, compared to all the types of food you eat?
(If any of the foods are blank, just ignore that row.) - [QID131-ChoiceTextEntryValue-3]","Now please consider all of the foods you thought about while making your decision. We want to know: How much do you like each of these foods, compared to all the types of food you eat?
(If any of the foods are blank, just ignore that row.) - [QID131-ChoiceTextEntryValue-4]","Now please consider all of the foods you thought about while making your decision. We want to know: How much do you like each of these foods, compared to all the types of food you eat?
(If any of the foods are blank, just ignore that row.) - [QID131-ChoiceTextEntryValue-5]","Now please consider all of the foods you thought about while making your decision. We want to know: How much do you like each of these foods, compared to all the types of food you eat?
(If any of the foods are blank, just ignore that row.) - [QID131-ChoiceTextEntryValue-6]","Now please consider all of the foods you thought about while making your decision. We want to know: How much do you like each of these foods, compared to all the types of food you eat?
(If any of the foods are blank, just ignore that row.) - [QID131-ChoiceTextEntryValue-7]","Now please consider all of the foods you thought about while making your decision. We want to know: How much do you like each of these foods, compared to all the types of food you eat?
(If any of the foods are blank, just ignore that row.) - [QID131-ChoiceTextEntryValue-8]","Now please consider all of the foods you thought about while making your decision. We want to know: How much do you like each of these foods, compared to all the types of food you eat?
(If any of the foods are blank, just ignore that row.) - [QID131-ChoiceTextEntryValue-13]",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"One more question. How often do you eat each of these foods, compared to all the types of food you eat?
(If any of the foods are blank, just ignore that row.) - [QID131-ChoiceTextEntryValue-1]","One more question. How often do you eat each of these foods, compared to all the types of food you eat?
(If any of the foods are blank, just ignore that row.) - [QID131-ChoiceTextEntryValue-3]","One more question. How often do you eat each of these foods, compared to all the types of food you eat?
(If any of the foods are blank, just ignore that row.) - [QID131-ChoiceTextEntryValue-4]","One more question. How often do you eat each of these foods, compared to all the types of food you eat?
(If any of the foods are blank, just ignore that row.) - [QID131-ChoiceTextEntryValue-5]","One more question. How often do you eat each of these foods, compared to all the types of food you eat?
(If any of the foods are blank, just ignore that row.) - [QID131-ChoiceTextEntryValue-6]","One more question. How often do you eat each of these foods, compared to all the types of food you eat?
(If any of the foods are blank, just ignore that row.) - [QID131-ChoiceTextEntryValue-7]","One more question. How often do you eat each of these foods, compared to all the types of food you eat?
(If any of the foods are blank, just ignore that row.) - [QID131-ChoiceTextEntryValue-8]","One more question. How often do you eat each of these foods, compared to all the types of food you eat?
(If any of the foods are blank, just ignore that row.) - [QID131-ChoiceTextEntryValue-13]",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID123_TEXT""}","{""ImportId"":""QID134_FIRST_CLICK""}","{""ImportId"":""QID134_LAST_CLICK""}","{""ImportId"":""QID134_PAGE_SUBMIT""}","{""ImportId"":""QID134_CLICK_COUNT""}","{""ImportId"":""QID131_1""}","{""ImportId"":""QID131_3""}","{""ImportId"":""QID131_4""}","{""ImportId"":""QID131_5""}","{""ImportId"":""QID131_6""}","{""ImportId"":""QID131_7""}","{""ImportId"":""QID131_8""}","{""ImportId"":""QID131_13""}","{""ImportId"":""QID132_FIRST_CLICK""}","{""ImportId"":""QID132_LAST_CLICK""}","{""ImportId"":""QID132_PAGE_SUBMIT""}","{""ImportId"":""QID132_CLICK_COUNT""}","{""ImportId"":""QID124_1""}","{""ImportId"":""QID124_2""}","{""ImportId"":""QID124_3""}","{""ImportId"":""QID124_4""}","{""ImportId"":""QID124_5""}","{""ImportId"":""QID124_6""}","{""ImportId"":""QID124_7""}","{""ImportId"":""QID124_22""}","{""ImportId"":""QID128_FIRST_CLICK""}","{""ImportId"":""QID128_LAST_CLICK""}","{""ImportId"":""QID128_PAGE_SUBMIT""}","{""ImportId"":""QID128_CLICK_COUNT""}","{""ImportId"":""QID137_1""}","{""ImportId"":""QID137_2""}","{""ImportId"":""QID137_3""}","{""ImportId"":""QID137_4""}","{""ImportId"":""QID137_5""}","{""ImportId"":""QID137_6""}","{""ImportId"":""QID137_7""}","{""ImportId"":""QID137_22""}","{""ImportId"":""QID138_FIRST_CLICK""}","{""ImportId"":""QID138_LAST_CLICK""}","{""ImportId"":""QID138_PAGE_SUBMIT""}","{""ImportId"":""QID138_CLICK_COUNT""}"
3/17/19 15:26,3/17/19 15:29,1,,100,168,1,3/17/19 15:29,R_2WGPcCv7n30t0CY,,,,,42.373703,-71.12840271,preview,EN,,0,0,31.57,0,test1,test2,test3,test4,test5,test6,test7,test8,0.839,13.034,93.357,13,3,9,8,5,4,4,3,7,2.635,10.419,11.769,12,3,3,3,7,7,7,7,5,0.733,4.934,8.332,9
3/17/19 15:38,3/17/19 15:44,1,,100,357,1,3/17/19 15:44,R_2XdN3yQXUneYv0r,,,,,42.373703,-71.12840271,preview,EN,test1,1.002,1.002,121.432,1,test,test2,test3,test4,test5,,,,1.084,196.536,197.812,13,3,8,4,9,7,,,,2.311,8.923,10.832,8,3,9,4,5,6,,,,1.394,3.135,4.511,5
3/17/19 15:57,3/17/19 15:57,1,,100,21,1,3/17/19 15:57,R_1N81kWkfDHopLib,,,,,42.373703,-71.12840271,preview,EN,,0,0,1.439,0,1,2,3,4,,,,,0.334,1.219,2.066,4,1,2,3,4,,,,,0.832,2.887,3.157,5,7,6,5,4,,,,,0.803,1.966,2.935,4
3/17/19 16:00,3/17/19 16:00,1,,100,32,1,3/17/19 16:00,R_3RyBwXqpMj2ozE7,,,,,42.373703,-71.12840271,preview,EN,,0,0,1.449,0,a,b,c,d,,,,,2.62,7.668,8.325,11,1,2,3,4,,,,,0.887,2.25,3.993,4,7,6,5,4,,,,,0.754,1.972,2.931,4
3/17/19 16:06,3/17/19 16:07,1,,100,48,1,3/17/19 16:07,R_2e3uHWCi23A9D9j,,,,,42.373703,-71.12840271,preview,EN,test,2.22,2.828,4.886,2,test1,test2,test3,test4,test5,test6,,,0.668,6.854,9.779,6,1,2,3,4,5,6,,,1.075,4.084,8.9,6,7,6,5,4,3,2,,,1.331,3.513,9.265,6
3/18/19 9:11,3/18/19 9:15,0,108.30.158.214,100,228,1,3/18/19 9:15,R_2Bwyy6ObBzeDnos,,,,,40.54679871,-74.18039703,anonymous,EN,Steak and potatoes,3.752,3.752,45.334,1,pasta,steak,potatoes,chicken,fish,salad,,,5.33,5.33,116.517,1,6,7,6,1,1,4,,,5.779,12.323,13.859,6,3,2,6,6,4,5,,,5.214,10.549,11.298,6
3/18/19 9:13,3/18/19 9:15,0,174.96.144.202,100,136,1,3/18/19 9:15,R_1kFeOy70Ot337SU,,,,,40.0269928,-81.58200073,anonymous,EN,I would ask them to cook me some chicken parm with spaghetti and breadsticks. ,13.395,40.006,43.694,3,Shrimp,Tacos,Cream chicken and biscuits,Chicken parm w/ spaghetti and breadsticks,Buffalo chicken wrap,,,,2.151,26.363,44.065,2,5,4,7,7,5,,,,10.36,17.472,19.154,6,2,4,1,3,6,,,,3.245,9.221,10.116,5
3/18/19 9:15,3/18/19 9:17,0,73.66.114.81,100,131,1,3/18/19 9:17,R_RhiFWssuXCVTilH,,,,,37.62359619,-120.9965973,anonymous,EN,Pesto pasta with crunchy french bread and almond string beans,8.401,8.401,42.983,1,chicken,salad,spaghetti traditional,,,,,,7.334,7.334,34.327,1,6,5,4,,,,,,8.003,11.307,13.555,3,6,4,3,,,,,,6.874,9.306,10.101,3
