"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","comp_check2","comp_check_pass2","choice","scratch","rt","early1","early2","stamp","id"
"099decdbb165bfdac4e8f8c36e724981","cs_wg_full_v4_conf_real1","3PM8NZGV8YH3IIKN6K237W4RIAUXQT","choice-set","Third letter late",0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,4918,26,0,"ocean","",21000,NA,NA,"2018-08-29 14:32:22",23320
"aa1d5b03db0621cc7b9e52f923bd7d41","cs_wg_full_v4_conf_real1","3NL0RFNU0FOQ9DYI94G1EZVKQ9YK4A","choice-set","Third letter late",0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,25553,0,1,"May","May",21000,NA,NA,"2018-08-29 14:32:42",23321
"099decdbb165bfdac4e8f8c36e724981","cs_wg_full_v4_conf_real1","3PM8NZGV8YH3IIKN6K237W4RIAUXQT","choice-set","choice-set",2,"[]",2,-1,-1,-1,NA,0,"{""January"":0,""June"":0,""July"":0,""August"":0,""September"":0,""March"":0,""February"":0,""November"":0,""April"":0,""October"":0,""May"":0,""December"":0}","",19997,NA,NA,"2018-08-29 14:33:11",23322
"aa1d5b03db0621cc7b9e52f923bd7d41","cs_wg_full_v4_conf_real1","3NL0RFNU0FOQ9DYI94G1EZVKQ9YK4A","choice-set","choice-set",2,"[]",2,-1,-1,-1,NA,0,"{""January"":0,""June"":0,""May"":1,""April"":1,""September"":0,""August"":0,""March"":0,""July"":0,""December"":0,""October"":1,""November"":0,""February"":0}","",23341,NA,NA,"2018-08-29 14:36:13",23323
"4e25758d30d2634a071a5f58f6c268e6","cs_wg_full_v4_conf_real1","3CN4LGXD5XPLTINZDJHSN7AVOO7Y4J","choice-set","Third letter late",0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,17365,0,1,"November","January February March April May June Jul",21000,NA,NA,"2018-08-29 14:36:56",23324
"91dd13abc0f3c1d337fda0b4d6758874","cs_wg_full_v4_conf_real1","31LVTDXBL7B8UPIY5GOF1SJ97NNLRX","choice-set","Third letter late",0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,5289,15,0,"february","love you",21000,NA,NA,"2018-08-29 14:37:10",23325
"8b979d24464541c7e4c0d1998e04b18f","cs_wg_full_v4_conf_real1","32Q90QCQ1SM81FVBYASENL7B3YSKEG","choice-set","Third letter late",0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,20564,0,1,"may","may",21000,NA,NA,"2018-08-29 14:37:15",23326
"bdd3dd951f16c91410475bf1c6e35308","cs_wg_full_v4_conf_real1","3LQ8PUHQFLTTFUWPO8F8V8PB3AVHII","choice-set","Third letter late",0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,24309,0,1,"OCTOBER","",21000,NA,NA,"2018-08-29 14:37:30",23327
"0ff0c2f61f80c665b1e9edfc5502fa39","cs_wg_full_v4_conf_real1","3NC5L260MONJXKGMRD4DCK9KZ4HFOD","choice-set","Third letter late",0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,53515,0,1,"May
","January
February
March
April
May
June
july
august
september
october
november
december",21000,NA,NA,"2018-08-29 14:37:33",23328
"4e25758d30d2634a071a5f58f6c268e6","cs_wg_full_v4_conf_real1","3CN4LGXD5XPLTINZDJHSN7AVOO7Y4J","choice-set","choice-set",2,"[]",2,-1,-1,-1,NA,0,"{""April"":0,""September"":0,""August"":0,""June"":0,""February"":0,""March"":0,""December"":0,""October"":0,""November"":1,""July"":0,""May"":0,""January"":0}","",11113,NA,NA,"2018-08-29 14:37:54",23329
"d61157233d838d9cba1c9335e92c04e5","cs_wg_full_v4_conf_real1","30ZX6P7VF8WLVFDDN5X1K5Y9R622JX","choice-set","Third letter late",0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,39583,0,1,"March","",21000,NA,NA,"2018-08-29 14:38:02",23330
"86ab439ec173cad8d5636e1d2d516766","cs_wg_full_v4_conf_real1","37C0GNLMHF4WAUWM0BNT7KK82R7D6B","choice-set","Third letter late",0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,30,0,13327,30,0,"good","none",21000,NA,NA,"2018-08-29 14:38:08",23331
"6fc815726ca287fe5992578307c742dd","cs_wg_full_v4_conf_real1","3XLBSAQ9Z4DIHVFNB3HI4Q37LK17Z3","choice-set","Third letter late",0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,25725,0,1,"march","",21000,NA,NA,"2018-08-29 14:38:16",23332
"8b979d24464541c7e4c0d1998e04b18f","cs_wg_full_v4_conf_real1","32Q90QCQ1SM81FVBYASENL7B3YSKEG","choice-set","choice-set",2,"[]",2,-1,-1,-1,NA,0,"{""January"":0,""February"":0,""July"":0,""August"":0,""April"":0,""March"":0,""September"":0,""October"":0,""November"":1,""June"":0,""May"":1,""December"":0}","",27531,NA,NA,"2018-08-29 14:38:23",23333
"91dd13abc0f3c1d337fda0b4d6758874","cs_wg_full_v4_conf_real1","31LVTDXBL7B8UPIY5GOF1SJ97NNLRX","choice-set","choice-set",2,"[]",2,-1,-1,-1,NA,0,"{""January"":0,""February"":1,""March"":0,""May"":0,""December"":0,""April"":0,""June"":0,""October"":0,""August"":0,""September"":0,""July"":1,""November"":0}","",17810,NA,NA,"2018-08-29 14:38:29",23334
"bdd3dd951f16c91410475bf1c6e35308","cs_wg_full_v4_conf_real1","3LQ8PUHQFLTTFUWPO8F8V8PB3AVHII","choice-set","choice-set",2,"[]",2,-1,-1,-1,NA,0,"{""October"":1,""November"":0,""September"":1,""July"":0,""August"":0,""January"":0,""June"":0,""February"":0,""December"":0,""March"":0,""May"":0,""April"":0}","",5899,NA,NA,"2018-08-29 14:38:34",23335
"0ff0c2f61f80c665b1e9edfc5502fa39","cs_wg_full_v4_conf_real1","3NC5L260MONJXKGMRD4DCK9KZ4HFOD","choice-set","choice-set",2,"[]",2,-1,-1,-1,NA,0,"{""August"":1,""October"":1,""February"":1,""November"":1,""March"":1,""July"":1,""December"":1,""June"":1,""April"":1,""January"":1,""September"":1,""May"":1}","",23720,NA,NA,"2018-08-29 14:38:44",23336
"cd51d50d039cef8a22afc23b325fed82","cs_wg_full_v4_conf_real1","3LRKMWOKB5IBVUIH5R0N8ZMZA4F2ZI","choice-set","Third letter late",0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,24404,0,1,"october","october",21000,NA,NA,"2018-08-29 14:38:59",23337
