"subject","version","assignmentId","cond","word","word_ind","s1_value","s2_value","exposures","stamp","id"
"3e5d6cadfcf88b8bf2c7e8c1878dfd9a","cs_wg_full_v4_conf_real3","3FE2ERCCZX9VOX5G5G0IOENO6G3PO6","choice-set","JANUARY",0,5,14,0,"2018-09-24 14:01:57",106344
"3e5d6cadfcf88b8bf2c7e8c1878dfd9a","cs_wg_full_v4_conf_real3","3FE2ERCCZX9VOX5G5G0IOENO6G3PO6","choice-set","FEBRUARY",1,12,2,0,"2018-09-24 14:01:57",106345
"3e5d6cadfcf88b8bf2c7e8c1878dfd9a","cs_wg_full_v4_conf_real3","3FE2ERCCZX9VOX5G5G0IOENO6G3PO6","choice-set","MARCH",2,10,18,0,"2018-09-24 14:01:57",106346
"3e5d6cadfcf88b8bf2c7e8c1878dfd9a","cs_wg_full_v4_conf_real3","3FE2ERCCZX9VOX5G5G0IOENO6G3PO6","choice-set","APRIL",3,7,18,0,"2018-09-24 14:01:57",106347
"3e5d6cadfcf88b8bf2c7e8c1878dfd9a","cs_wg_full_v4_conf_real3","3FE2ERCCZX9VOX5G5G0IOENO6G3PO6","choice-set","MAY",4,11,25,0,"2018-09-24 14:01:57",106348
"3e5d6cadfcf88b8bf2c7e8c1878dfd9a","cs_wg_full_v4_conf_real3","3FE2ERCCZX9VOX5G5G0IOENO6G3PO6","choice-set","JUNE",5,6,14,0,"2018-09-24 14:01:57",106349
"3e5d6cadfcf88b8bf2c7e8c1878dfd9a","cs_wg_full_v4_conf_real3","3FE2ERCCZX9VOX5G5G0IOENO6G3PO6","choice-set","JULY",6,9,12,0,"2018-09-24 14:01:57",106350
"3e5d6cadfcf88b8bf2c7e8c1878dfd9a","cs_wg_full_v4_conf_real3","3FE2ERCCZX9VOX5G5G0IOENO6G3PO6","choice-set","AUGUST",7,8,7,0,"2018-09-24 14:01:57",106351
"3e5d6cadfcf88b8bf2c7e8c1878dfd9a","cs_wg_full_v4_conf_real3","3FE2ERCCZX9VOX5G5G0IOENO6G3PO6","choice-set","SEPTEMBER",8,3,16,0,"2018-09-24 14:01:57",106352
"3e5d6cadfcf88b8bf2c7e8c1878dfd9a","cs_wg_full_v4_conf_real3","3FE2ERCCZX9VOX5G5G0IOENO6G3PO6","choice-set","OCTOBER",9,1,20,0,"2018-09-24 14:01:57",106353
"3e5d6cadfcf88b8bf2c7e8c1878dfd9a","cs_wg_full_v4_conf_real3","3FE2ERCCZX9VOX5G5G0IOENO6G3PO6","choice-set","NOVEMBER",10,4,22,0,"2018-09-24 14:01:57",106354
"3e5d6cadfcf88b8bf2c7e8c1878dfd9a","cs_wg_full_v4_conf_real3","3FE2ERCCZX9VOX5G5G0IOENO6G3PO6","choice-set","DECEMBER",11,2,3,0,"2018-09-24 14:01:57",106355
"a1fede247b470692a4a6a7c615fe8d30","cs_wg_full_v4_conf_real3","3Z9WI9EOZZPKLPMDOB0K8O4O0KJKHC","choice-set","JANUARY",0,7,14,0,"2018-09-24 14:02:01",106356
"a1fede247b470692a4a6a7c615fe8d30","cs_wg_full_v4_conf_real3","3Z9WI9EOZZPKLPMDOB0K8O4O0KJKHC","choice-set","APRIL",3,3,18,0,"2018-09-24 14:02:01",106357
