subject,instructions_time,total_time,gender,use_s1,write_down,comments,stamp,id
099decdbb165bfdac4e8f8c36e724981,30891,425959,Female,No,No,Not available.,8/29/18 14:33,5835
aa1d5b03db0621cc7b9e52f923bd7d41,59056,624891,Female,No,No,I went through all of the months in order and stopped at May because it seemed like the best option.,8/29/18 14:36,5836
4e25758d30d2634a071a5f58f6c268e6,43369,634585,Female,No,No,Just my gut instincts.,8/29/18 14:38,5837
91dd13abc0f3c1d337fda0b4d6758874,67281,610547,Male,Yes,No,i just focussed as much as i could,8/29/18 14:38,5838
8b979d24464541c7e4c0d1998e04b18f,52302,743969,Female,No,No,I honestly really enjoyed this study. I just thought of random months and their third letters.,8/29/18 14:38,5839
bdd3dd951f16c91410475bf1c6e35308,54721,703005,Female,No,No,NO.,8/29/18 14:38,5840
0ff0c2f61f80c665b1e9edfc5502fa39,72369,760940,Female,No,No,I put all the months in the note pad box and scrolled down until I found the one that was the answer.,8/29/18 14:38,5841
6fc815726ca287fe5992578307c742dd,56198,805912,Female,No,No,i just tried to remember a month that had a later letter for it,8/29/18 14:39,5842
d61157233d838d9cba1c9335e92c04e5,71129,830556,Female,No,No,I just went over the months in my head that I knew I had saw,8/29/18 14:39,5843
86ab439ec173cad8d5636e1d2d516766,26215,706632,Male,Yes,Yes,none,8/29/18 14:40,5844
cd51d50d039cef8a22afc23b325fed82,74865,856258,Female,No,No,I wrote the first word that came to mind.,8/29/18 14:40,5845
5be144e925d8147fa553cb3a53b38437,82597,830388,Male,No,No,to remember the third letter,8/29/18 14:40,5846
1d84280cac23e1cc7c9e9b6a70474cf2,76360,871858,Female,Yes,No,,8/29/18 14:41,5847
86f14ae92cd87d1d5615bcdbf089c902,72509,795098,Female,No,No,Just go from the beginning of the alphabet checking third letters. Fastest strategy since the relationship to Part 1 was arbitrary and it's easiest to remember the months in calendrical order.,8/29/18 14:41,5848
c23919108fbd371065df42bc9b7bad71,77096,812811,Male,No,No,started with the shorter words to get the best option first,8/29/18 14:41,5849
93ae35569c40923bb19681c5f393abe8,68307,727433,Male,No,No,"I just needed more time! anyway, thanks...",8/29/18 14:41,5850
edd1f6cb085d2a2e4e991fabf6296fe2,73553,958594,Female,No,No,"I went through the months one by one - although, how I missed May is beyond me! I got through to October, and knew 'T' was pretty far along and I was running out of time, so I picked 'T' and moved on.",8/29/18 14:42,5851
1c32b16f6b1a4151e15cb9ecc04e0644,52348,735210,Male,Yes,No,"My strategy for the third letter question was to think of the highest point value word, november, and what quality made it higher valued.",8/29/18 14:42,5852
9ef57b60468e462b7dbaa03f43736c52,71911,963694,Male,Yes,No,Not a great one obviously.,8/29/18 14:42,5853
