subject,cond,question,question_ind,all_values,question_order,comp_check,comp_check_pass,comp_check_rt,comp_check2,comp_check_pass2,choice,scratch,rt,stamp,id
aa1d5b03db0621cc7b9e52f923bd7d41,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,"July
July",NA,16000,6/5/19 12:18,37512
aa1d5b03db0621cc7b9e52f923bd7d41,0,choice-set,2,[],2,-1,-1,-1,NA,0,"{""July"":1,""June"":1,""November"":0,""March"":0,""April"":1,""December"":0,""February"":1,""May"":0,""September"":0,""August"":1,""January"":0,""October"":0}",NA,3558,6/5/19 12:19,37513
0606a6422ccf8697f3cdaf1ba5938c0e,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,May,NA,16000,6/5/19 12:19,37514
313d98b69d3d4f352a3ffbef73ba44f9,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,NOVEMBER,NA,16000,6/5/19 12:19,37515
ef0ab7523742e158ec7d3963b238fdf7,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,"july
",NA,16000,6/5/19 12:20,37516
d6220ba5dd432def120772e2e1454e3c,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,"october
october",NA,16000,6/5/19 12:20,37517
33d15458e3deedb1550b0f63887c6cab,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,May,NA,16000,6/5/19 12:20,37518
0139cd9fbefdf10ba048ff8923b8e13a,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,"april
april",NA,16000,6/5/19 12:20,37519
0606a6422ccf8697f3cdaf1ba5938c0e,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""May"":1,""July"":1,""April"":0,""September"":0,""November"":0,""January"":0,""March"":0,""October"":0,""February"":0,""June"":0,""August"":0,""December"":1}",NA,4543,6/5/19 12:20,37520
d5062a49bf0db1c385c0f222ebb4ba67,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,December,NA,16000,6/5/19 12:20,37521
ef0ab7523742e158ec7d3963b238fdf7,0,choice-set,2,[],2,-1,-1,-1,NA,0,"{""September"":0,""July"":1,""March"":1,""June"":0,""April"":1,""May"":0,""February"":0,""November"":0,""January"":1,""December"":0,""August"":0,""October"":0}",NA,2285,6/5/19 12:20,37522
d6220ba5dd432def120772e2e1454e3c,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""May"":0,""February"":0,""June"":0,""August"":0,""October"":1,""July"":1,""January"":1,""November"":0,""March"":0,""April"":0,""September"":0,""December"":1}",NA,1987,6/5/19 12:21,37523
313d98b69d3d4f352a3ffbef73ba44f9,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""September"":0,""November"":1,""January"":0,""December"":0,""April"":0,""July"":0,""May"":0,""March"":0,""October"":0,""February"":0,""August"":0,""June"":0}",NA,5669,6/5/19 12:21,37524
65c24d0990f2c00efdeb0eda1a720966,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,March,NA,16000,6/5/19 12:21,37525
97f0244747728f90f985af0f5134c2b6,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,December,NA,16000,6/5/19 12:21,37526
0139cd9fbefdf10ba048ff8923b8e13a,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""April"":1,""December"":0,""November"":0,""January"":0,""February"":0,""July"":0,""September"":0,""March"":0,""August"":0,""June"":0,""October"":0,""May"":0}",NA,3527,6/5/19 12:21,37527
a502708665d7f923db9acd8187705704,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,October,NA,16000,6/5/19 12:21,37528
01f9c492df46b84d0e30a2551492afaf,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,May,NA,16000,6/5/19 12:21,37529
d5062a49bf0db1c385c0f222ebb4ba67,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""December"":1,""September"":1,""November"":1,""April"":0,""May"":0,""August"":0,""January"":1,""July"":0,""June"":0,""October"":1,""February"":0,""March"":1}",NA,19124,6/5/19 12:21,37530
33d15458e3deedb1550b0f63887c6cab,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""March"":1,""October"":0,""January"":1,""November"":0,""May"":1,""December"":0,""June"":1,""August"":0,""April"":0,""February"":1,""July"":0,""September"":0}",NA,20195,6/5/19 12:21,37531
97f0244747728f90f985af0f5134c2b6,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""April"":0,""July"":1,""September"":1,""November"":1,""June"":0,""January"":1,""October"":1,""August"":0,""March"":0,""December"":1,""May"":0,""February"":1}",NA,6657,6/5/19 12:22,37532
65c24d0990f2c00efdeb0eda1a720966,0,choice-set,2,[],2,-1,-1,-1,NA,0,"{""February"":1,""August"":1,""July"":0,""January"":0,""November"":1,""October"":0,""June"":1,""May"":1,""September"":0,""December"":0,""April"":1,""March"":1}",NA,4643,6/5/19 12:22,37533
145a21fdb5bafa538b0f19fea5e40b91,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,September,NA,16000,6/5/19 12:22,37534
3672ba0dea8ca4c3af20936e2d0f55ae,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,june,NA,16000,6/5/19 12:22,37535
03b602885b5804bf01afc9a814a19c30,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,December,NA,16000,6/5/19 12:22,37536
4ce73caf0540517e6cee3a82ec10425e,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,"May
March
September
May",NA,16000,6/5/19 12:22,37537
a502708665d7f923db9acd8187705704,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""July"":0,""June"":0,""August"":0,""April"":0,""December"":0,""October"":1,""March"":1,""November"":0,""May"":0,""January"":0,""February"":0,""September"":0}",NA,6542,6/5/19 12:22,37538
b007722bc37cd70d10475ac40ecc7b3c,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,october,NA,16000,6/5/19 12:23,37539
0588f4985fe8828b0ab3cc7b9047e4f8,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,December,NA,16000,6/5/19 12:23,37540
4e647d8afe3ad4afee614629541a9bc4,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,March,NA,16000,6/5/19 12:23,37541
adcee5ecf15a329d2c6291b5e01d7191,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,November,NA,16000,6/5/19 12:23,37542
9fc361f9a98d3c0094182d9a50ebeba5,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,june,NA,16000,6/5/19 12:23,37543
01bccaa4dd71661a7bc855c50cc08033,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,December,NA,16000,6/5/19 12:23,37544
792de444e782773689cfe01b3b4b1748,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,"may
may",NA,16000,6/5/19 12:23,37545
3672ba0dea8ca4c3af20936e2d0f55ae,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""August"":0,""July"":1,""September"":0,""January"":0,""February"":0,""October"":1,""May"":1,""December"":0,""June"":1,""April"":0,""November"":1,""March"":0}",NA,6698,6/5/19 12:23,37546
5528af7ee0e138e557b032194547d5bf,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,september,NA,16000,6/5/19 12:23,37547
03b602885b5804bf01afc9a814a19c30,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""November"":0,""December"":1,""September"":0,""January"":0,""July"":0,""April"":0,""May"":0,""June"":1,""August"":0,""February"":1,""March"":0,""October"":0}",NA,7808,6/5/19 12:23,37548
01f9c492df46b84d0e30a2551492afaf,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""July"":1,""September"":0,""May"":1,""January"":0,""October"":1,""November"":0,""August"":0,""March"":1,""June"":1,""April"":1,""February"":1,""December"":0}",NA,21368,6/5/19 12:24,37549
b007722bc37cd70d10475ac40ecc7b3c,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""December"":0,""January"":0,""August"":1,""April"":1,""November"":1,""May"":0,""September"":1,""February"":0,""October"":1,""July"":0,""June"":0,""March"":0}",NA,6326,6/5/19 12:24,37550
cc6a2d2b667efa492ba164339eac64a9,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,July,NA,16000,6/5/19 12:24,37551
145a21fdb5bafa538b0f19fea5e40b91,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""August"":1,""November"":0,""April"":0,""September"":1,""February"":0,""March"":0,""January"":0,""June"":1,""July"":1,""May"":0,""October"":0,""December"":1}",NA,18637,6/5/19 12:24,37552
4ce73caf0540517e6cee3a82ec10425e,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""February"":0,""August"":1,""October"":0,""May"":1,""December"":0,""November"":0,""April"":1,""September"":1,""March"":1,""January"":0,""June"":0,""July"":0}",NA,4598,6/5/19 12:24,37553
